Period,Total_principalDue,Total_interestDue,Total_monthlyPayment,Recoveries,Total_balance
42,502850.9829312422,145375.0475793637,648226.0305106075,3686.4730295591426,9947126.947448412
43,507866.2379249255,137952.98581294875,645819.2237378765,6969.4259829412495,9405889.59189032
44,513795.5063393601,130694.04797846383,644489.5543178255,0,8888850.579471039
45,520147.1623809511,123443.7482332725,643590.9106142248,3518.2431946026004,8352026.777620255
46,526628.3367965346,116015.37726225899,642643.7140587962,2714.5449475953565,7814344.7876405055
47,532712.7109128243,108448.06806870979,641160.7789815364,5338.503126157219,7262303.607673199
48,539839.3740349006,101042.02006894445,640881.3941038472,7029.175626507403,6721644.130174572
49,546520.6760145616,93390.5080079746,639911.1840225375,10518.073403704635,6143864.978944622
50,553156.9862431686,85530.8415903416,638687.827833512,3166.714853097718,5590707.992701443
51,513958.9880652963,77795.98176403438,591754.9698293309,5338.034750728459,5068425.8847835045
52,506088.92805987876,70540.35800639579,576629.2860662746,1033.5711731620736,4558234.553843644
53,489552.0303149992,63499.5172884574,553051.5476034568,1731.256336231482,4065287.966627864
54,471344.58929823013,56580.64109350991,527925.2303917398,0,3589356.5871658963
55,443288.3080338283,49843.274869684865,493131.5829035139,0,3134379.6693812176
56,420692.45499029086,43617.53868835488,464309.9936786456,2692.4917582553785,2705855.4573981934
57,393606.791475827,37654.7728310698,431261.56430689694,13772.025313383092,2292052.7025055164
58,357254.5811156683,31938.603861389518,389193.18497705815,3086.7881835742237,1928740.3747972236
59,323644.170136713,26917.077605117174,350561.2477418294,3148.216709347008,1601085.8540568755
60,292446.5513229933,22364.886962813107,314811.4382858062,6828.184309085177,1307621.7299817242
61,249091.80659609663,18281.779156254408,267373.5857523508,24410.045652701505,1048688.8093408863
62,207828.59256711302,14676.062045940038,222504.65461305305,8923.257005420171,840041.2368201418
63,173141.24039496548,11743.378195937781,184884.61859090324,18660.075112982777,664060.1848682031
64,149854.1186597636,9249.252092867697,159103.37075263166,19096.751904499444,501600.409035543
65,120761.24285428507,7018.930103998802,127780.17295828392,10347.258029402496,378176.60942337406
66,101451.68403416459,5287.632538034992,106739.31657219959,16935.608861594672,274858.92612630746
67,82614.85272930577,3846.8462465934144,86461.69897589917,11263.574600379921,190848.2055169851
68,68401.30776802402,2686.2314001944164,71087.5391682185,6678.7859882811445,121583.48180957261
69,48535.2972669534,1685.7032550165181,50221.00052196994,12388.903866778528,70457.38975049721
70,42314.87239583408,997.3271588346365,43312.19955466874,10815.449688793804,28142.5173546631
71,26841.154118602844,379.41395662950885,27220.568075232368,13501.433103189262,1.4915713109076023e-10
72,0,0,0,16937.753074855245,0
